Project1_Results

bubbleSort
random_Data,,ordered_Data,,reverseOrdered_Data,,fiftyPercentOrdered_Data,,seventyFivePercentOrdered_Data,,
size,microseconds,size,microseconds,size,microseconds,size,microseconds,size,microseconds,
4096,867.3,4096,581.6,4096,446.3,4096,2839.9,4096,922.7,
8192,1923.0,8192,1227.4,8192,723.9,8192,5283.4,8192,1782.7,
16384,4997.4,16384,2590.2,16384,1719.9,16384,11021.2,16384,3592.3,
32768,10819.0,32768,5372.2,32768,3438.7,32768,34320.2,32768,7503.2,

heapSort
random_Data,,ordered_Data,,reverseOrdered_Data,,fiftyPercentOrdered_Data,,seventyFivePercentOrdered_Data,,
size,microseconds,size,microseconds,size,microseconds,size,microseconds,size,microseconds,
4,1.8,4,54.9,4,0.4,4,16.8,4,12.5,
8,0.5,8,13.7,8,0.5,8,4.8,8,0.6,
16,1.2,16,13.2,16,1.1,16,11.5,16,1.3,
32,2.5,32,20.5,32,1.8,32,55.4,32,2.6,
64,5.4,64,10.2,64,4.0,64,82.7,64,5.3,
128,11.1,128,19.9,128,9.3,128,159.7,128,10.6,
256,25.3,256,44.3,256,20.5,256,310.7,256,22.7,
512,56.5,512,83.8,512,42.3,512,159.3,512,51.9,
1024,122.4,1024,142.4,1024,89.6,1024,317.4,1024,106.7,
2048,273.1,2048,233.2,2048,191.6,2048,705.5,2048,254.7,
4096,682.1,4096,482.5,4096,432.9,4096,1536.5,4096,504.6,
8192,2445.7,8192,1171.6,8192,1310.5,8192,3610.1,8192,1374.2,
16384,5055.4,16384,3531.6,16384,3299.1,16384,6837.0,16384,4047.0,
32768,9987.2,32768,17063.9,32768,6491.7,32768,9837.3,32768,8919.3,

countingSort
random_Data,,ordered_Data,,reverseOrdered_Data,,fiftyPercentOrdered_Data,,seventyFivePercentOrdered_Data,,
size,microseconds,size,microseconds,size,microseconds,size,microseconds,size,microseconds,
4,122.7,4,69.5,4,66.4,4,527.5,4,497.6,
8,81.3,8,70.9,8,63.4,8,576.5,8,468.6,
16,65.5,16,68.2,16,63.1,16,704.5,16,807.1,
32,71.5,32,67.2,32,64.2,32,305.6,32,773.3,
